Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SALA:Zone Mean Air Temperature [C](TimeStep),SALA:Zone Operative Temperature [C](TimeStep),JANSO:AFN Surface Venting Window or Door Opening Factor [](TimeStep),JANSL:AFN Surface Venting Window or Door Opening Factor [](TimeStep),JANSS:AFN Surface Venting Window or Door Opening Factor [](TimeStep),SALA:AFN Zone Infiltration Air Change Rate [ach](TimeStep),SALA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](TimeStep),SALA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](TimeStep)
 01/01  00:10:00,23.45,22.82840519,22.63306896,0,0,0,0,0,0
 01/01  00:20:00,23.6,22.78627138,22.59141453,0,0,0,0,0,0
 01/01  00:30:00,23.75,22.7523922,22.55666801,0,0,0,0,0,0
 01/01  00:40:00,23.9,22.72854472,22.52930978,0,0,0,0,0,0
 01/01  00:50:00,24.05,22.71335949,22.50904954,0,0,0,0,0,0
 01/01  01:00:00,24.2,22.70243383,22.49370235,0,0,0,0,0,0
 01/01  01:10:00,24.2,22.68776871,22.47628975,0,0,0,0,0,0
 01/01  01:20:00,24.2,22.67109027,22.45929181,0,0,0,0,0,0
 01/01  01:30:00,24.2,22.65667829,22.44435852,0,0,0,0,0,0
 01/01  01:40:00,24.2,22.64545576,22.43167104,0,0,0,0,0,0
 01/01  01:50:00,24.2,22.63587213,22.4203862,0,0,0,0,0,0
 01/01  02:00:00,24.2,22.62677135,22.40973599,0,0,0,0,0,0
 01/01  02:10:00,24.18333333,22.61796316,22.39955936,0,0,0,0,0,0
 01/01  02:20:00,24.16666667,22.6092986,22.38975647,0,0,0,0,0,0
 01/01  02:30:00,24.15,22.60098719,22.38034366,0,0,0,0,0,0
 01/01  02:40:00,24.13333333,22.59330839,22.37146704,0,0,0,0,0,0
 01/01  02:50:00,24.11666667,22.58591485,22.36273428,0,0,0,0,0,0
 01/01  03:00:00,24.1,22.57883363,22.35451193,0,0,0,0,0,0
 01/01  03:10:00,24.1,22.57258557,22.34749524,0,0,0,0,0,0
 01/01  03:20:00,24.1,22.56748821,22.34105447,0,0,0,0,0,0
 01/01  03:30:00,24.1,22.56347859,22.33546654,0,0,0,0,0,0
 01/01  03:40:00,24.1,22.56017339,22.33055395,0,0,0,0,0,0
 01/01  03:50:00,24.1,22.55688834,22.325774,0,0,0,0,0,0
 01/01  04:00:00,24.1,22.55388037,22.32159207,0,0,0,0,0,0
 01/01  04:10:00,24.11666667,22.55175276,22.31825818,0,0,0,0,0,0
 01/01  04:20:00,24.13333333,22.55042709,22.31559019,0,0,0,0,0,0
 01/01  04:30:00,24.15,22.54949069,22.31341245,0,0,0,0,0,0
 01/01  04:40:00,24.16666667,22.54877446,22.31161632,0,0,0,0,0,0
 01/01  04:50:00,24.18333333,22.54840621,22.31024743,0,0,0,0,0,0
 01/01  05:00:00,24.2,22.54849673,22.30934846,0,0,0,0,0,0
 01/01  05:10:00,24.16666667,22.54800641,22.30767477,0,0,0,0,0,0
 01/01  05:20:00,24.13333333,22.54607274,22.30534144,0,0,0,0,0,0
 01/01  05:30:00,24.1,22.54299853,22.3023752,0,0,0,0,0,0
 01/01  05:40:00,24.06666667,22.53958099,22.2991026,0,0,0,0,0,0
 01/01  05:50:00,24.03333333,22.53611018,22.29564808,0,0,0,0,0,0
 01/01  06:00:00,24,22.53241017,22.29192244,0,0,0,0,0,0
 01/01  06:10:00,23.98333333,22.52859747,22.28814542,0,0,0,0,0,0
 01/01  06:20:00,23.96666667,22.53485233,22.2931964,0,0,0,0,0,0
 01/01  06:30:00,23.95,22.5437213,22.29853091,0,0,0,0,0,0
 01/01  06:40:00,23.93333333,22.55258351,22.30898922,0,0,0,0,0,0
 01/01  06:50:00,23.91666667,22.56542951,22.32466516,0,0,0,0,0,0
 01/01  07:00:00,23.9,22.5847265,22.34613643,0,0,0,0,0,0
 01/01  07:10:00,24.06666667,22.61117053,22.37661169,0,0,0,0,0,0
 01/01  07:20:00,24.23333333,22.64796846,22.41482068,0,0,0,0,0,0
 01/01  07:30:00,24.4,22.69482783,22.46113474,0,0,0,0,0,0
 01/01  07:40:00,24.56666667,22.7495916,22.51581132,0,0,0,0,0,0
 01/01  07:50:00,24.73333333,22.81038868,22.57703882,0,0,0,0,0,0
 01/01  08:00:00,24.9,22.87728706,22.64467781,0,0,0,0,0,0
 01/01  08:10:00,25.05,22.89135205,22.6886119,0,0,0,0.019041768,0,0
 01/01  08:20:00,25.2,22.90016906,22.72945483,0,0,0,0.025517615,0,0
 01/01  08:30:00,25.35,22.91951284,22.77612894,0,0,0,0.031251877,0,0
 01/01  08:40:00,25.5,22.9749291,22.84238158,0,0,0,0.032794967,0,0
 01/01  08:50:00,25.65,23.04708476,22.91928374,0,0,0,0.036772756,0,0
 01/01  09:00:00,25.8,23.12492893,23.00145349,0,0,0,0.039885369,0,0
 01/01  09:10:00,25.83333333,23.20547737,23.08575018,0,0,0,0.045676486,0,0
 01/01  09:20:00,25.86666667,23.28965337,23.17362415,0,0,0,0.05558601,0,0
 01/01  09:30:00,25.9,23.37891578,23.26563715,0,0,0,0.07524967,0,0
 01/01  09:40:00,25.93333333,23.47399967,23.36310341,0,0,0,0.091611876,0,0
 01/01  09:50:00,25.96666667,23.57384672,23.4645913,0,0,0,0.107148051,0,0
 01/01  10:00:00,26,23.67646138,23.56897007,0,0,0,0.121229705,0,0
 01/01  10:10:00,26.15,23.78903029,23.68648359,0,0,0,0.116565205,0,0
 01/01  10:20:00,26.3,23.90601521,23.80423272,0,0,0,0.111552302,0,0
 01/01  10:30:00,26.45,24.02280384,23.92274094,0,0,0,0.105960747,0,0
 01/01  10:40:00,26.6,24.13161283,24.03345868,0,0,0,0.098995548,0,0
 01/01  10:50:00,26.75,24.23108571,24.13836154,0,0,0,0.093629728,0,0
 01/01  11:00:00,26.9,24.32686086,24.23952855,0,0,0,0.091488436,0,0
 01/01  11:10:00,27.08333333,24.42469995,24.34041905,0,0,0,0.096519038,0,0
 01/01  11:20:00,27.26666667,24.52567724,24.4415729,0,0,0,0.106936477,0,0
 01/01  11:30:00,27.45,24.62769962,24.54218876,0,0,0,0.117430988,0,0
 01/01  11:40:00,27.63333333,24.72007701,24.6315409,0,0,0,0.125248278,0,0
 01/01  11:50:00,27.81666667,24.80037245,24.71166438,0,0,0,0.129456628,0,0
 01/01  12:00:00,28,24.87223659,24.78448277,0,0,0,0.133504777,0,0
